"","iso_code","location","year","month","day","total_vaccinations","people_vaccinated","people_fully_vaccinated"
"108","LVA","Latvia","2021","03","10",89015,70921,18094
"109","LBN","Lebanon","2021","03","10",87216,75341,11875
"110","LSO","Lesotho","2021","03","10",NA,NA,NA
"111","LBR","Liberia","2021","03","10",NA,NA,NA
"112","LBY","Libya","2021","03","10",NA,NA,NA
"113","LIE","Liechtenstein","2021","03","10",NA,NA,NA
"114","LTU","Lithuania","2021","03","10",333972,242935,91037
"115","LUX","Luxembourg","2021","03","10",51457,36693,14764
"116","MAC","Macao","2021","03","10",24040,NA,NA
"117","MDG","Madagascar","2021","03","10",NA,NA,NA
"118","MWI","Malawi","2021","03","10",NA,NA,NA
"119","MYS","Malaysia","2021","03","10",223923,223923,NA
"120","MDV","Maldives","2021","03","10",175456,175456,NA
"121","MLI","Mali","2021","03","10",NA,NA,NA
"122","MLT","Malta","2021","03","10",108971,72725,36246
"123","MHL","Marshall Islands","2021","03","10",NA,NA,NA
"124","MRT","Mauritania","2021","03","10",NA,NA,NA
"125","MUS","Mauritius","2021","03","10",NA,NA,NA
"126","MEX","Mexico","2021","03","10",3488000,2882000,606000
"127","FSM","Micronesia (country)","2021","03","10",NA,NA,NA
"128","MDA","Moldova","2021","03","10",6447,6447,NA
"129","MCO","Monaco","2021","03","10",NA,NA,NA
"130","MNG","Mongolia","2021","03","10",30446,NA,NA
"131","MNE","Montenegro","2021","03","10",NA,NA,NA
"132","MSR","Montserrat","2021","03","10",932,892,40
"133","MAR","Morocco","2021","03","10",4934283,4080009,854274
"134","MOZ","Mozambique","2021","03","10",NA,NA,NA
"135","MMR","Myanmar","2021","03","10",NA,NA,NA
"136","NAM","Namibia","2021","03","10",NA,NA,NA
"137","NPL","Nepal","2021","03","10",NA,NA,NA
"138","NLD","Netherlands","2021","03","10",NA,NA,NA
"139","NZL","New Zealand","2021","03","10",18000,18000,NA
"140","NIC","Nicaragua","2021","03","10",NA,NA,NA
"141","NER","Niger","2021","03","10",NA,NA,NA
"142","NGA","Nigeria","2021","03","10",NA,NA,NA
"143","OWID_NAM","North America","2021","03","10",102964902,68207316,34166842
"144","MKD","North Macedonia","2021","03","10",NA,NA,NA
"145","OWID_CYN","Northern Cyprus","2021","03","10",NA,NA,NA
"146","NOR","Norway","2021","03","10",670214,436798,233416
"147","OWID_OCE","Oceania","2021","03","10",124200,124200,NA
"148","OMN","Oman","2021","03","10",98168,79149,19019
"149","PAK","Pakistan","2021","03","10",NA,NA,NA
"150","PSE","Palestine","2021","03","10",NA,NA,NA
